code;product;quantity;cost
23722LS3Gr;Grohe 23 722 LS3 Eurostyle Смеситель для душа;6;142.8
23725003Gr;Grohe 23 725 003 Eurostyle Смеситель для душа встраиваемый, Комплект;2;124.8
23726003Gr;Grohe 23 726 003 Eurostyle Смеситель для ванны;6;134.4
23726LS3Gr;Grohe 23 726 LS3 Eurostyle Смеситель для ванны;4;170.4
23751000Gr;Grohe 23 751 000 BauFlow Смеситель для раковины 80 мм, со сливным гарнитуром, EcoJoy;3;64.8
23752000Gr;Grohe 23 752 000 BauFlow Смеситель однорычажный для раковины 80 мм, гладкий, S-Size;1;62.21
23758000Gr;Grohe 23 758 000 BauEdge Смеситель для раковины 108 мм, со сливным гарнитуром, EcoJoy;5;86.83
23761000Gr;Grohe 23 761 000 BauEdge Смеситель для свободностоящей раковины 250 мм, гладкий, EcoJoy;1;116.64
23762000Gr;Grohe 23 762 000 BauLoop Смеситель для раковины 108 мм, со сливным гарнитуром, EcoJoy;9;82.94
23764000Gr;Grohe 23 764 000 BauLoop Смеситель для свободностоящей раковины 250 мм, гладкий, EcoJoy;2;116.64
23791001Gr;Grohe 23 791 001 Lineare Смеситель для раковины 95 мм, со сливным гарнитуром Push-Open 1¼;1;188.4
23791DC1Gr;Grohe 23 791 DC1 Lineare New Смеситель для раковины с нажимным сливным гарнитуром, размерXS;1;244.8
24030000Gr;*СНЯТ*Grohe 24 030 000 ARIA Смеситель для биде;3;264.72
24036000Gr;Grohe 24 036 000 Eurodisk Joy Смеситель для биде со сливным гарнитуром;1;192.0
24063001Gr;Grohe 24 063 001 Lineare Смеситель для душа (внешняя монтажная часть) для 35600;2;172.28
24407L00Gr;*СНЯТ*24.407 L00 Se БИДЕ;2;0
24475000Gr;*СНЯТ*zSUP / БИДЕ 24.475. + Цепочка;1;103.47
24480000Gr;*СНЯТ*COSTA 24.480 биде;2;102.16
24480001Gr;Grohe 24 480 001 Costa L Смеситель для биде со сливным гарнитуром, резина;5;147.6
24610000Gr;*СНЯТ*Grohe 24 610 000 Florida Смеситель для биде !БЕЗ маховиков!;6;127.02
24650000Gr;*СНЯТ*Grohe 24 650 000 Sinfonia Смеситель для биде;1;0
25007IG0Gr;*СНЯТ*Grohe 25 007 IG0 Sentosa Смеситель для ванны;1;200.29
25009IG0Gr;*СНЯТ*Grohe 25 009 IG0 Sentosa Смеситель для ванны, вертикальный монтаж;1;285.72
25013000Gr;*СНЯТ* Grohe 25.013.000 Atrio Ypsilon для ванны, вертикальный монтаж (СНЯТ С ПР-ВА);1;729.7
25023L00Gr;*СНЯТ*SENTOSA LOO 25.023 ванна 2 обр.кл. бел;1;0
25081000Gr;*СНЯТ*Grohe 25 081 000 ARIA Смеситель для ванны;1;324.55
25561IG0Gr;*СНЯТ*TALIA IG0 25.561 ванна;1;389.37
